sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2021.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - High Fidelity
StartTime: ,2022-03-25_11:15:53_745 EDT
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Status
174,3831343658,0.999916,0.004506,0.012189,0.000170,0.020907,-0.003408,0.156502,0
175,3831360325,0.999857,0.004716,0.016221,0.000709,0.021424,-0.001654,0.161905,0
176,3831376992,0.999826,0.003610,0.018294,0.000971,0.016536,-0.001518,0.160692,0
177,3831393659,0.999749,0.002490,0.022247,0.000028,0.006738,0.000940,0.159209,0
178,3831410326,0.999698,0.001539,0.024483,-0.001580,-0.007429,0.006021,0.168519,0
179,3831426993,0.999795,-0.000449,0.020040,-0.002681,-0.019302,0.007853,0.180494,0
180,3831443660,0.999888,-0.003208,0.014580,-0.001159,-0.028366,0.008808,0.174646,0
181,3831460327,0.999870,-0.005646,0.015070,0.000172,-0.034328,-0.000323,0.162645,0
182,3831476994,0.999801,-0.007056,0.018642,-0.000413,-0.037593,-0.010669,0.150167,0
183,3831493661,0.999669,-0.005562,0.024999,-0.002637,-0.027387,-0.017268,0.141900,0
184,3831510328,0.999455,-0.000373,0.032756,-0.003988,-0.019540,-0.010823,0.146857,0
185,3831526995,0.999297,0.004723,0.037104,-0.002657,-0.039377,0.007672,0.164269,0
186,3831543662,0.999413,0.003272,0.034066,-0.001429,-0.067878,0.009105,0.176372,0
187,3831560329,0.999619,-0.005990,0.026916,-0.001478,-0.085127,0.001550,0.159641,0
188,3831576996,0.999593,-0.014243,0.024675,-0.001518,-0.085701,-0.009628,0.122064,0
189,3831593663,0.999509,-0.014928,0.027545,-0.000507,-0.082705,-0.022466,0.092535,0
190,3831610330,0.999522,-0.007659,0.029929,0.000742,-0.094588,-0.020264,0.081731,0
191,3831626997,0.999532,0.002879,0.030344,0.002682,-0.119923,-0.019459,0.090196,0
192,3831643664,0.999562,0.010555,0.027629,0.001427,-0.138680,-0.013293,0.103386,0
193,3831660331,0.999711,0.011208,0.021203,-0.001848,-0.141230,-0.004642,0.114880,0
194,3831676998,0.999908,0.005099,0.012089,-0.003514,-0.134008,-0.003286,0.117630,0
195,3831693665,0.999983,-0.002594,0.004915,-0.001587,-0.113026,-0.006374,0.097045,0
196,3831710332,0.999952,-0.005809,0.007229,0.003033,-0.114758,-0.010562,0.071148,0
197,3831726999,0.999881,-0.003106,0.014254,0.004933,-0.140003,-0.016565,0.062930,0
198,3831743666,0.999790,0.002821,0.020164,0.002108,-0.159596,-0.024335,0.067084,0
199,3831760333,0.999739,0.007494,0.021554,-0.001135,-0.156247,-0.015625,0.078422,0
200,3831777000,0.999822,0.008847,0.016534,-0.001943,-0.150588,-0.001337,0.088427,0
201,3831793667,0.999942,0.006716,0.008307,-0.001221,-0.146473,0.002295,0.092967,0
202,3831810334,0.999998,0.001904,0.000381,0.000229,-0.140213,-0.000854,0.084972,0
203,3831827001,0.999989,-0.000644,-0.003848,0.002696,-0.141012,0.002827,0.074846,0
204,3831843668,0.999963,0.001276,-0.007332,0.004375,-0.156217,0.000574,0.079963,0
205,3831860335,0.999933,0.003098,-0.010649,0.003367,-0.168736,0.002763,0.080781,0
206,3831877002,0.999949,0.001955,-0.009774,0.001678,-0.167331,0.000571,0.079888,0
207,3831893669,0.999971,0.000019,-0.007657,0.000065,-0.163996,0.003202,0.086312,0
208,3831910336,0.999932,-0.000904,-0.011601,-0.000399,-0.158873,0.004397,0.098873,0
209,3831927003,0.999734,-0.000786,-0.023040,-0.000110,-0.155485,0.004792,0.099183,0
210,3831943670,0.999418,-0.000060,-0.034067,0.001704,-0.146686,0.007997,0.101162,0
211,3831960337,0.998949,-0.000228,-0.045504,0.005530,-0.138707,0.004257,0.103484,0
212,3831977004,0.998736,-0.000030,-0.049710,0.007443,-0.136027,-0.004110,0.101561,0
213,3831993671,0.998955,0.000228,-0.045314,0.006015,-0.127084,-0.005836,0.104518,0
214,3832010338,0.999212,-0.001090,-0.039513,0.003717,-0.110516,-0.005326,0.114387,0
215,3832027005,0.999406,-0.002236,-0.034277,0.002678,-0.088964,-0.000262,0.126630,0
216,3832043672,0.999504,-0.002011,-0.031260,0.003169,-0.074306,0.004660,0.141143,0
217,3832060339,0.999388,-0.002876,-0.034579,0.004398,-0.065943,0.004588,0.150491,0
218,3832077006,0.999294,-0.003145,-0.037029,0.005502,-0.046174,0.003610,0.148731,0
219,3832093673,0.999372,-0.002172,-0.034780,0.006458,-0.035423,-0.003527,0.148346,0
220,3832110340,0.999413,-0.001853,-0.033930,0.004303,-0.041191,-0.009647,0.148593,0
221,3832127007,0.999466,-0.000726,-0.032659,0.000153,-0.020593,-0.009950,0.143968,0
222,3832143674,0.999677,0.000508,-0.025343,-0.002055,0.005712,-0.002960,0.142652,0
223,3832160341,0.999783,0.001111,-0.020776,-0.001054,0.008023,0.006879,0.159230,0
224,3832177008,0.999691,0.000844,-0.024854,-0.000657,0.001209,0.009694,0.176921,0
225,3832193675,0.999455,-0.000690,-0.032996,0.000794,0.009093,0.010607,0.177907,0
226,3832210342,0.999298,-0.001333,-0.037314,0.002970,0.020843,0.003495,0.165253,0
227,3832227009,0.999286,-0.000302,-0.037667,0.003082,0.029153,-0.001799,0.154117,0
228,3832243676,0.999281,0.000977,-0.037776,0.002935,0.038637,-0.002576,0.150802,0
229,3832260343,0.999181,0.001408,-0.040286,0.003464,0.055030,-0.005959,0.145856,0
230,3832277010,0.999246,0.001441,-0.038615,0.003864,0.084761,-0.007479,0.133640,0
231,3832293677,0.999474,0.001830,-0.032140,0.003997,0.107264,-0.003601,0.126792,0
232,3832310344,0.999602,0.002343,-0.027845,0.003892,0.110052,0.003048,0.131503,0
233,3832327011,0.999644,0.001666,-0.026315,0.004015,0.109321,0.005031,0.128945,0
234,3832343678,0.999687,-0.000205,-0.024881,0.002779,0.102850,-0.001510,0.114686,0
235,3832360345,0.999755,-0.001408,-0.022102,0.000324,0.107735,-0.003512,0.095791,0
236,3832377012,0.999787,-0.001050,-0.020547,-0.001456,0.113134,0.000124,0.084228,0
237,3832393679,0.999815,0.000124,-0.019156,-0.001938,0.131111,-0.004133,0.069347,0
238,3832410346,0.999967,-0.000047,-0.007954,-0.001888,0.152860,-0.002882,0.054026,0
239,3832427013,0.999993,0.000389,0.003210,-0.001723,0.146701,-0.001829,0.069485,0
240,3832443680,0.999994,0.002081,0.002792,-0.000443,0.135331,0.007323,0.102447,0
241,3832460347,0.999989,0.003831,-0.002432,0.001452,0.135471,0.003821,0.109359,0
242,3832477014,0.999988,0.004234,-0.002257,0.000959,0.131700,-0.002193,0.104054,0
