sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2021.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - High Fidelity
StartTime: ,2022-03-25_11:11:52_726 EDT
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Status
179,3590406722,1.000000,0.000161,0.000366,-0.000353,-0.003090,-0.012399,0.164608,0
180,3590423389,1.000000,0.000139,0.000174,-0.000289,-0.005030,-0.007434,0.167208,0
181,3590440056,0.999999,0.001031,-0.000097,0.000301,-0.004614,-0.008432,0.167440,0
182,3590456723,0.999996,0.002831,-0.000365,0.000601,-0.004410,-0.011752,0.166744,0
183,3590473390,0.999989,0.004666,-0.000290,0.000836,-0.004288,-0.009531,0.163704,0
184,3590490057,0.999989,0.004595,-0.000089,0.000735,-0.002147,-0.008914,0.162585,0
185,3590506724,0.999985,0.005424,-0.000383,0.000133,-0.003910,-0.009720,0.168604,0
186,3590523391,0.999953,0.009681,-0.000853,0.000490,-0.007456,-0.005164,0.175484,0
187,3590540058,0.999838,0.017707,-0.001668,0.002642,-0.011230,0.001304,0.182734,0
188,3590556725,0.999709,0.023344,-0.003324,0.005055,-0.006584,0.010302,0.170956,0
189,3590573392,0.999707,0.023334,-0.003793,0.005225,0.000575,0.011958,0.151155,0
190,3590590059,0.999803,0.019339,-0.002781,0.003454,0.006154,0.015864,0.142130,0
191,3590606726,0.999893,0.014389,-0.002096,0.001694,0.004223,0.023428,0.143890,0
192,3590623393,0.999941,0.010695,-0.001907,0.000081,0.002140,0.030729,0.148976,0
193,3590640060,0.999934,0.011433,-0.000452,-0.000773,0.000264,0.044346,0.163752,0
194,3590656727,0.999868,0.016180,-0.001178,0.000294,-0.004109,0.040640,0.170618,0
195,3590673394,0.999818,0.018912,-0.002139,0.001591,0.000471,0.041368,0.160186,0
196,3590690061,0.999846,0.017371,-0.002513,0.000377,0.006319,0.039372,0.146127,0
197,3590706728,0.999859,0.016569,-0.002344,-0.001629,0.006264,0.039081,0.145921,0
198,3590723395,0.999853,0.016717,-0.002139,-0.003201,0.006004,0.049532,0.140938,0
199,3590740062,0.999854,0.016567,-0.001003,-0.004041,0.004055,0.058358,0.143260,0
200,3590756729,0.999825,0.018564,-0.000654,-0.002268,0.000963,0.087443,0.152314,0
201,3590773396,0.999813,0.019120,-0.002435,-0.001649,0.003033,0.075543,0.139140,0
202,3590790063,0.999847,0.016773,-0.003385,-0.003604,0.007561,0.073526,0.119200,0
203,3590806730,0.999898,0.013109,-0.001385,-0.005481,0.007808,0.102503,0.105045,0
204,3590823397,0.999940,0.010304,0.001847,-0.003141,0.004002,0.120138,0.108994,0
205,3590840064,0.999942,0.009804,0.004341,-0.000738,0.003737,0.102454,0.118725,0
206,3590856731,0.999941,0.009476,0.005243,-0.001107,0.008023,0.088865,0.132152,0
207,3590873398,0.999958,0.008048,0.003158,-0.003084,0.002790,0.100274,0.141618,0
208,3590890065,0.999982,0.005060,0.000601,-0.003205,-0.001481,0.124393,0.142456,0
209,3590906732,0.999999,0.000680,-0.000851,-0.001315,-0.000954,0.131362,0.134928,0
210,3590923399,0.999983,-0.005749,-0.001223,-0.000600,0.001458,0.113977,0.127676,0
211,3590940066,0.999922,-0.012261,-0.000998,-0.002222,0.000604,0.098379,0.126796,0
212,3590956733,0.999820,-0.018486,-0.000856,-0.004258,-0.000702,0.102349,0.132487,0
213,3590973400,0.999739,-0.022338,-0.001191,-0.004700,-0.003915,0.109585,0.137449,0
214,3590990067,0.999680,-0.024920,-0.000969,-0.004140,-0.003290,0.115750,0.135069,0
215,3591006734,0.999627,-0.027198,0.000476,-0.002422,-0.002253,0.118854,0.132839,0
216,3591023401,0.999530,-0.030608,0.001809,-0.000392,-0.003461,0.112476,0.135272,0
217,3591040068,0.999379,-0.035146,0.002051,0.001305,-0.006243,0.088204,0.148303,0
218,3591056735,0.999286,-0.037742,0.000898,0.001525,-0.006678,0.044640,0.155378,0
219,3591073402,0.999282,-0.037874,-0.000051,-0.000779,-0.000637,0.012639,0.153793,0
220,3591090069,0.999339,-0.036243,0.000507,-0.002737,-0.000334,0.020874,0.148978,0
221,3591106736,0.999392,-0.034811,0.001364,-0.001127,-0.004695,0.043683,0.147450,0
222,3591123403,0.999410,-0.034088,0.002430,0.003570,-0.011319,0.046489,0.148639,0
223,3591140070,0.999379,-0.034284,0.002713,0.007612,-0.010599,0.007630,0.153898,0
224,3591156737,0.999491,-0.031609,0.001108,0.004218,-0.011488,-0.036237,0.163457,0
225,3591173404,0.999499,-0.031635,0.001335,-0.000299,0.000130,-0.097470,0.146219,0
226,3591190071,0.999366,-0.035237,0.000304,-0.005062,-0.001232,-0.050609,0.145795,0
227,3591206738,0.999260,-0.037999,0.000598,-0.005868,-0.010324,-0.016652,0.147416,0
228,3591223405,0.999231,-0.039149,0.000294,-0.002070,-0.016826,-0.014242,0.152240,0
229,3591240072,0.999334,-0.036429,-0.001298,0.001902,-0.012562,-0.063822,0.155831,0
230,3591256739,0.999489,-0.031718,-0.003708,0.001420,-0.005973,-0.114001,0.144494,0
231,3591273406,0.999585,-0.028467,-0.003999,-0.002115,-0.000853,-0.120958,0.127243,0
232,3591290073,0.999623,-0.026995,-0.003078,-0.003932,-0.002244,-0.103300,0.121025,0
233,3591306740,0.999611,-0.027364,-0.003561,-0.003944,-0.002017,-0.089436,0.116620,0
234,3591323407,0.999567,-0.029010,-0.003586,-0.003410,0.000859,-0.092596,0.110789,0
235,3591340074,0.999552,-0.029596,-0.003581,-0.002521,0.002683,-0.103377,0.106771,0
236,3591356741,0.999637,-0.026619,-0.003746,-0.001661,0.001327,-0.122645,0.105483,0
237,3591373408,0.999790,-0.019988,-0.004248,-0.001246,0.002556,-0.134334,0.095854,0
238,3591390075,0.999936,-0.010796,-0.003278,-0.000407,0.001870,-0.156778,0.082933,0
239,3591406742,0.999996,-0.002858,-0.000340,0.000146,0.005201,-0.155906,0.068477,0
240,3591423409,0.999994,0.002282,0.002657,0.000386,0.005264,-0.147336,0.075740,0
241,3591440076,0.999972,0.006550,0.003473,0.000754,0.001997,-0.139578,0.087355,0
242,3591456743,0.999957,0.008649,0.003286,0.000915,0.002994,-0.140380,0.090532,0
243,3591473410,0.999935,0.010744,0.003712,0.000642,0.003005,-0.143505,0.095673,0
244,3591490077,0.999895,0.013956,0.003820,0.000243,0.000154,-0.142297,0.101872,0
245,3591506744,0.999828,0.018165,0.003614,0.000482,-0.003814,-0.136624,0.119287,0
